PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) ,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,
T2M_MIN             MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,
District,Year,Month,Pre_sum,QV2M,T2M,T2M_MAX,T2M_MIN
Bajali,2016,January,11.78,8.92,16.79,24.48,10.07
Bajali,2016,February,5.56,9.88,20.23,29.99,12.14
Bajali,2016,March,57.82,11.78,24.62,33.53,15.42
Bajali,2016,April,457.19,16.9,27.33,35.11,18.94
Bajali,2016,May,352.75,19.19,28.26,33.7,22.78
Bajali,2016,June,303.94,21.63,29.42,35.72,25.46
Bajali,2016,July,417.72,21.96,29.06,35.28,24.55
Bajali,2016,August,88.99,22.22,29.53,37.53,25.9
Bajali,2016,September,111.62,20.79,28.07,33.64,23.23
Bajali,2016,October,85.52,17.44,26.2,32.34,19.66
Bajali,2016,November,1.04,13.83,22.55,29.56,15.65
Bajali,2016,December,1.19,11.36,19.58,26.47,13.66
Bajali,ANN,ANN,1895.12,16.34,25.14,37.53,10.07
Bajali,2017,January,0.48,9.28,17.92,26.74,9.88
Bajali,2017,February,38.88,9.72,20.07,28.78,12.04
Bajali,2017,March,81.49,11.3,22.55,31.21,12.7
Bajali,2017,April,286.45,16.44,26.34,33.81,17.36
Bajali,2017,May,208.26,19.07,28.48,34.11,22.15
Bajali,2017,June,332.37,21.34,29.33,34.7,25.05
Bajali,2017,July,350.13,21.41,29.03,35.91,23.95
Bajali,2017,August,292.01,21.74,28.78,34.05,24.96
Bajali,2017,September,246.61,20.94,28.13,33.49,23.99
Bajali,2017,October,145.95,18.14,26.1,32.49,17.96
Bajali,2017,November,7.98,13.54,21.89,28.57,14.91
Bajali,2017,December,0.67,11.76,19.23,25.72,13.14
Bajali,ANN,ANN,1991.28,16.26,24.84,35.91,9.88
Bajali,2018,January,0.57,8.79,16.19,24.92,7.45
Bajali,2018,February,17.3,9.76,19.01,27.54,12.2
Bajali,2018,March,72.85,11.72,23.19,30.99,14.53
Bajali,2018,April,138.93,15.47,26.07,32.37,19.05
Bajali,2018,May,274.09,18.08,27.53,33.71,20.22
Bajali,2018,June,299.02,21.29,29.42,34.18,25.06
Bajali,2018,July,261.95,21.85,29.53,34.38,25.86
Bajali,2018,August,251.61,21.74,29.49,35.76,25.4
Bajali,2018,September,255.85,20.6,28.34,34.02,24.19
Bajali,2018,October,28.09,15.75,24.73,31.53,18.1
Bajali,2018,November,15.85,12.56,20.91,29.05,14.2
Bajali,2018,December,18.74,10.02,17.76,25.43,9.38
Bajali,ANN,ANN,1634.85,15.66,24.37,35.76,7.45
Bajali,2019,January,0.48,8.55,16.71,25.6,9.37
Bajali,2019,February,27.47,9.1,18.25,27.01,10.76
Bajali,2019,March,59.38,9.89,21.55,31.22,10.64
Bajali,2019,April,241.52,14.72,25.72,34.45,18.49
Bajali,2019,May,463.46,18.13,27.45,34.12,21.16
Bajali,2019,June,229.31,21.22,29.67,35.55,23.56
Bajali,2019,July,438.51,21.75,29.08,34.61,24.03
Bajali,2019,August,190.12,21.97,29.8,36.2,25.84
Bajali,2019,September,344.75,20.13,27.95,35.37,22.1
Bajali,2019,October,134.11,16.18,24.8,32.22,16.91
Bajali,2019,November,7.23,14.47,22.34,29.06,16.55
Bajali,2019,December,0.41,9.76,16.81,24.94,7.89
Bajali,ANN,ANN,2136.75,15.52,24.2,36.2,7.89
Bajali,2020,January,12.18,9.09,15.79,23.99,8.03
Bajali,2020,February,11.15,9.36,17.96,26.96,9.32
Bajali,2020,March,18.32,11.62,22.28,31.78,15.15
Bajali,2020,April,238.96,13.94,25.1,33.65,17.37
Bajali,2020,May,525.96,17.84,27.38,33.64,21.61
Bajali,2020,June,490.67,21.19,28.85,34.4,23.75
Bajali,2020,July,400.46,21.97,28.82,33.76,25.36
Bajali,2020,August,170.42,21.99,29.23,34.85,24.87
Bajali,2020,September,274.26,21.08,27.94,34.18,23.61
Bajali,2020,October,94.63,18.69,26.79,32.56,20.37
Bajali,2020,November,1.02,13.14,21.5,29.45,13.46
Bajali,2020,December,0.05,10.5,17.49,26.05,9.13
Bajali,ANN,ANN,2238.08,15.89,24.11,34.85,8.03
Bajali,2021,January,5.08,9.67,16.67,23.79,8.54
Bajali,2021,February,3.98,9.3,18.57,27.36,9.4
Bajali,2021,March,52.06,10.8,22.43,31.3,14.26
Bajali,2021,April,96.93,13.22,25.47,34.1,17.19
Bajali,2021,May,222.72,17.88,27.22,35.4,20.79
Bajali,2021,June,302.34,20.92,29,34.33,24.62
Bajali,2021,July,264.37,21.53,29.41,35.66,25.25
Bajali,2021,August,181.86,21.4,28.73,34.62,24.86
Bajali,2021,September,161.52,20.52,28.58,34.23,24.34
Bajali,2021,October,82.02,17.84,26.18,33.66,17.99
Bajali,2021,November,0.03,12.08,20.32,26.98,13.92
Bajali,2021,December,1.36,10.09,18.09,26.99,10.98
Bajali,ANN,ANN,1374.27,15.47,24.25,35.66,8.54
Bajali,2022,January,20.73,8.95,16.75,24.45,8.35
Bajali,2022,February,72.45,8.55,16.75,26.39,8.38
Bajali,2022,March,47.72,11.11,24.23,34.05,13.98
Bajali,2022,April,283.87,16.11,25.94,32.59,20.39
Bajali,2022,May,381.93,18.5,28.02,34.57,20.81
Bajali,2022,June,684.24,20.7,28.37,33.21,23.33
Bajali,2022,July,171.8,21.78,29.19,35.21,24.78
Bajali,2022,August,156.27,21.62,29.35,35.16,24.89
Bajali,2022,September,89.29,20.21,27.86,34.69,23.99
Bajali,2022,October,196.85,17.09,25.17,34.08,17.84
Bajali,2022,November,0.06,12.06,20.6,28.19,13.62
Bajali,2022,December,0.51,10.78,18.23,26.04,10.42
Bajali,ANN,ANN,2105.72,15.66,24.25,35.21,8.35
Bajali,2023,January,0,8.96,16.31,26.71,8.19
Bajali,2023,February,2.83,9.83,19.33,28.22,11.04
Bajali,2023,March,73.01,11.74,22.79,31.14,15.58
Bajali,2023,April,73.94,13.18,26.58,36.8,17.63
Bajali,2023,May,146.53,15.7,28.43,38.29,21.78
Bajali,2023,June,321.53,20.22,30.19,39.05,24.47
Bajali,2023,July,141.7,21.21,30.26,36.93,25.8
Bajali,2023,August,215.62,21.53,29.72,36.07,24.89
Bajali,2023,September,117.87,19.84,29.5,37.15,24.16
Bajali,2023,October,65.8,15.74,26,34.03,19.11
Bajali,2023,November,4.94,11.04,23.09,31.55,15.84
Bajali,2023,December,6.21,9.48,20.13,29.45,12.07
Bajali,ANN,ANN,1169.98,14.9,25.22,39.05,8.19
Bajali,2024,January,2.41,7.41,17.52,26.65,10.05
Bajali,2024,February,4.53,7.15,19.17,28.79,9.16
Bajali,2024,March,112.31,9.07,23.8,34.8,13.66
Bajali,2024,April,39.97,10.87,28.75,39.92,18.59
Bajali,2024,May,320.48,15.57,29.9,41.7,21.14
Bajali,2024,June,594.99,21.45,29.36,34.21,25.06
Bajali,2024,July,329.85,22.35,29.85,35.85,25.62
Bajali,2024,August,229.17,21.35,29.01,35.16,25.1
Bajali,2024,September,148.83,20.99,29.6,36.44,23.54
Bajali,2024,October,174.23,17.4,25.28,31.41,20.12
Bajali,2024,November,4.48,12.94,21.26,29.28,12.93
Bajali,2024,December,0.44,9.33,16.45,24.14,10.21
Bajali,ANN,ANN,1961.69,14.68,25,41.7,9.16
Baksa,1981,January,26.7,8.53,15.83,23.33,8.38
Baksa,1981,February,22.66,8.78,17.35,27.48,9.61
Baksa,1981,March,64.9,10.51,21.49,30.75,13.12
Baksa,1981,April,196.06,13.51,24.06,31.93,15.51
Baksa,1981,May,273.27,17.95,27.82,34.57,21.89
Baksa,1981,June,198.91,20.56,29.26,35.16,23.09
Baksa,1981,July,549.58,21.38,28.76,34.37,25.1
Baksa,1981,August,248.08,21.55,28.89,34,25.15
Baksa,1981,September,276.86,19.65,27.47,33.16,22.72
Baksa,1981,October,9.77,15.86,24.56,30.65,17.56
Baksa,1981,November,1.24,11.95,20.45,27.59,13.22
Baksa,1981,December,58.62,9.47,16.55,25.24,9.16
Baksa,ANN,ANN,1926.65,15.01,23.57,35.16,8.38
Baksa,1982,January,1.98,8.9,16.46,25.4,9.97
Baksa,1982,February,11.61,8.16,16.86,26.24,9.04
Baksa,1982,March,14.75,9.86,20.98,31.63,10.92
Baksa,1982,April,431.06,13.71,25.5,33.83,17.94
Baksa,1982,May,260.06,17.3,28.06,34.77,19.83
Baksa,1982,June,416.67,19.97,28.57,34.04,23.73
Baksa,1982,July,283.84,21.17,29.09,33.96,24.95
Baksa,1982,August,271.92,21.13,28.84,34.8,24.13
Baksa,1982,September,133.8,19.45,27.63,34.26,22.26
Baksa,1982,October,15.85,14.87,24.37,31.14,17.14
Baksa,1982,November,45.45,11.44,19.86,28.28,11.5
Baksa,1982,December,0.29,8.49,15.89,23.39,8.29
Baksa,ANN,ANN,1887.28,14.57,23.54,34.8,8.29
Baksa,1983,January,6.02,7.06,14.7,25.19,7.41
Baksa,1983,February,16.68,6.41,16.58,28.05,5.98
Baksa,1983,March,8.57,7.07,21.78,36.11,11.68
Baksa,1983,April,86.75,9.66,26.47,37.74,16.08
Baksa,1983,May,141.69,15.66,28.29,39.85,19.13
Baksa,1983,June,238.23,19.07,30.75,40.24,24.8
Baksa,1983,July,228.99,20.54,29.91,37.03,25.47
Baksa,1983,August,217.11,20.28,29.01,35.14,24.1
Baksa,1983,September,335.82,19.76,27.67,33.53,23.32
Baksa,1983,October,146.4,16.25,25.1,34.25,16.83
Baksa,1983,November,0.27,11.34,20.59,28.61,13.92
Baksa,1983,December,9.81,8.12,15.91,24.35,6.67
Baksa,ANN,ANN,1436.34,13.48,23.93,40.24,5.98
Baksa,1984,January,10.93,6.55,14.13,23.42,6.65
Baksa,1984,February,12.86,6.43,17,28.4,7.7
Baksa,1984,March,3.63,6.59,24.27,37.69,12.28
Baksa,1984,April,124.61,11.23,28.94,38.73,19.73
Baksa,1984,May,234.08,16.45,28.46,37.01,21.46
Baksa,1984,June,319.31,19.75,29.7,40.13,23.25
Baksa,1984,July,474.07,20.7,28.26,34.53,24.49
Baksa,1984,August,137.61,20.76,29.05,36.27,24.84
Baksa,1984,September,350.36,18.48,26.47,33.48,20.83
Baksa,1984,October,54.84,16.28,24.75,32.33,16.71
Baksa,1984,November,0.3,10.62,19.42,27.61,12.83
Baksa,1984,December,6.91,8.31,15.74,25.08,7.8
Baksa,ANN,ANN,1729.51,13.53,23.86,40.13,6.65
Baksa,1985,January,0.04,7.46,15.34,25.28,7.53
Baksa,1985,February,17.92,6.77,16.74,27.42,8.51
Baksa,1985,March,35.4,8.94,23.41,34.5,14.39
Baksa,1985,April,132.25,12.75,27.3,36.06,19.14
Baksa,1985,May,100.03,14.71,29.6,37.76,21.83
Baksa,1985,June,156.64,19.06,30.64,37.83,24.97
Baksa,1985,July,312.72,19.64,28.45,35.63,23.79
Baksa,1985,August,141.88,20.41,29.58,35.71,25.4
Baksa,1985,September,315.58,19.42,27.68,33.6,23.34
Baksa,1985,October,40.39,15.36,24.97,32.04,16.26
Baksa,1985,November,3.21,9.96,20.11,29.17,12.07
Baksa,1985,December,17,8.15,17.65,26.36,9.5
Baksa,ANN,ANN,1273.06,13.59,24.33,37.83,7.53
Baksa,1986,January,1.59,6.98,16.71,25.94,8.82
Baksa,1986,February,3.32,6.17,19.41,30.28,10.7
Baksa,1986,March,6.59,6.19,24.61,38.9,12.06
Baksa,1986,April,219.48,11.83,27.3,38.5,17.35
Baksa,1986,May,70.17,12.72,29.74,40.46,20.85
Baksa,1986,June,244.15,17.54,31.87,42.02,24.49
Baksa,1986,July,224.08,19.57,29.31,36.25,24.87
Baksa,1986,August,250.46,19.99,29.41,38.91,22.72
Baksa,1986,September,192.51,18.17,26.88,33.36,20.6
Baksa,1986,October,210.57,14.58,23.42,29.64,16.84
Baksa,1986,November,29.52,11.24,19.9,28.46,13.13
Baksa,1986,December,3.84,8.31,16.9,25.38,10.06
Baksa,ANN,ANN,1456.28,12.81,24.64,42.02,8.82
Baksa,1987,January,8.82,7.21,16.77,27.03,9.2
Baksa,1987,February,76.34,7.8,19.22,31.13,10.79
Baksa,1987,March,68.11,8.53,23.02,35.73,13.6
Baksa,1987,April,180.69,10.97,27.46,38,18.29
Baksa,1987,May,112.52,14.24,28.84,39,19.38
Baksa,1987,June,198.73,19.13,31.06,38.61,26.02
Baksa,1987,July,496.9,21.12,28.93,34.35,23.1
Baksa,1987,August,267.53,20.19,28.53,35.75,23.72
Baksa,1987,September,371.98,20.01,27.87,32.86,22.1
Baksa,1987,October,120.46,15.53,24.25,31.01,17.26
Baksa,1987,November,6.03,12.39,20.9,27.85,13.36
Baksa,1987,December,0.48,9.59,17.78,25.71,9.97
Baksa,ANN,ANN,1908.59,13.92,24.57,39,9.2
Baksa,1988,January,6.72,7.94,16.03,24.39,8.31
Baksa,1988,February,27.4,7.94,17.99,27.4,9.9
Baksa,1988,March,62.42,8.65,21.43,33.52,11.85
Baksa,1988,April,169.81,12.33,26.35,37.31,15.51
Baksa,1988,May,531.47,17.51,28.26,35.12,22.01
Baksa,1988,June,376.02,20.25,28.56,34.6,23.3
Baksa,1988,July,416.65,21.64,29.26,34.81,25.37
Baksa,1988,August,375.85,21.22,28.56,34.61,24.38
Baksa,1988,September,178.61,20.09,27.6,32.98,22.4
Baksa,1988,October,67.66,16.62,24.9,31.02,17.49
Baksa,1988,November,68.96,12.36,20.94,28.48,14.32
Baksa,1988,December,11.35,10.2,17.77,25.7,10.82
Baksa,ANN,ANN,2292.92,14.75,23.98,37.31,8.31
Baksa,1989,January,5.05,7.13,14.11,22.87,5.13
Baksa,1989,February,41.52,7.21,16.09,27.16,7.99
Baksa,1989,March,14.44,8.99,20.51,31.58,9.72
Baksa,1989,April,153.12,11.19,25.3,36.05,13.78
Baksa,1989,May,236.46,16.5,28.07,35.34,18.58
Baksa,1989,June,372.36,19.84,29.01,35.29,23.96
Baksa,1989,July,471.1,20.69,28.74,35.54,21.98
Baksa,1989,August,241.73,20.39,28.56,33.71,22.78
Baksa,1989,September,348.4,19.89,27.77,34.1,22.64
Baksa,1989,October,98.13,16.61,24.97,32.25,16.82
Baksa,1989,November,2.96,11,19.33,27.08,12.98
Baksa,1989,December,4.4,8.01,15.42,23.88,8.03
Baksa,ANN,ANN,1989.67,13.99,23.19,36.05,5.13
Baksa,1990,January,2.72,8.19,16.14,25.84,7.51
Baksa,1990,February,16.06,8.3,17.37,25.78,9.83
Baksa,1990,March,77.01,9.48,20.82,31.23,10.45
Baksa,1990,April,351.88,13.34,24.73,32.92,15.57
Baksa,1990,May,155.98,17.26,27.95,33.99,20.59
Baksa,1990,June,249.22,20.65,29.38,35.46,24.09
Baksa,1990,July,612.36,20.96,28.93,33.47,25.09
Baksa,1990,August,110.25,20.97,29.02,36.39,24.81
Baksa,1990,September,226.92,19.66,27.42,35.35,21.66
Baksa,1990,October,147.4,15.56,24.07,32.33,18.1
Baksa,1990,November,0.81,12.22,21.06,28.51,14.12
Baksa,1990,December,0,9.36,16.92,24.14,10.42
Baksa,ANN,ANN,1950.61,14.7,23.68,36.39,7.51
Baksa,1991,January,1.04,7.5,14.73,25.02,6.7
Baksa,1991,February,2.14,7.66,17.73,28.62,9.45
Baksa,1991,March,9.56,8.67,22.46,33.73,12.92
Baksa,1991,April,88.07,10.84,26.57,36.73,16.88
Baksa,1991,May,166.85,16.26,29.98,38.37,21.63
Baksa,1991,June,256.07,19.23,29.38,36.28,23.15
Baksa,1991,July,249.24,21.07,29.39,36.34,25.13
Baksa,1991,August,391.77,20.58,29.03,35.12,24.77
Baksa,1991,September,220.53,19.41,27.14,32.49,22.94
Baksa,1991,October,145.67,15.49,24.25,31.35,17.94
Baksa,1991,November,3.15,10.97,19.15,27.57,11.66
Baksa,1991,December,13.08,8.58,15.63,23.83,6.28
Baksa,ANN,ANN,1547.17,13.89,23.82,38.37,6.28
Baksa,1992,January,8.15,7.64,14.69,24.22,5.66
Baksa,1992,February,26.52,6.69,15.55,24.91,7.43
Baksa,1992,March,35.49,8.12,21.59,34.45,11.33
Baksa,1992,April,111.32,10.44,26.37,36.5,16.19
Baksa,1992,May,242.29,14.69,27.42,37.17,19.27
Baksa,1992,June,321.1,18.29,29.57,36.49,23.17
Baksa,1992,July,339.11,20.03,28.41,35.32,23.37
Baksa,1992,August,373.79,20.46,28.9,35.44,23.33
Baksa,1992,September,194.35,18.58,27.43,34.18,21.22
Baksa,1992,October,55.95,14.66,23.74,31.12,16.04
Baksa,1992,November,5.77,10.88,19.88,28.69,13.25
Baksa,1992,December,12.3,7.88,15.47,24.09,9.04
Baksa,ANN,ANN,1726.14,13.22,23.27,37.17,5.66
Baksa,1993,January,56.74,7.06,14.23,24.84,5.81
Baksa,1993,February,57.69,8.04,18.36,28.18,7.93
Baksa,1993,March,61.47,7.9,20.84,31.54,11.7
Baksa,1993,April,109.29,10.87,25.73,36.59,14.25
Baksa,1993,May,332.39,17.19,27.68,34.95,21.78
Baksa,1993,June,531.89,19.78,28.54,34.6,22.26
Baksa,1993,July,366.6,21.09,29.1,34.96,23.98
Baksa,1993,August,388.34,20.91,28.6,33.8,23.98
Baksa,1993,September,275.81,19.06,27.17,33.92,22.92
Baksa,1993,October,32.61,15.85,24.56,30.97,16.65
Baksa,1993,November,0.45,12.22,20.55,27.98,13.93
Baksa,1993,December,1.86,9.42,17.23,24.92,10.59
Baksa,ANN,ANN,2215.14,14.15,23.57,36.59,5.81
Baksa,1994,January,16.14,8.13,15.8,24.67,7.83
Baksa,1994,February,21.99,7.54,16.27,26.08,8.64
Baksa,1994,March,97.73,9.92,21.9,33.27,11.51
Baksa,1994,April,150.9,12.2,25.38,35.05,17.64
Baksa,1994,May,195.49,16.46,28.84,36.59,21
Baksa,1994,June,366.02,20.79,29.38,35.32,24.38
Baksa,1994,July,234.95,21.33,30.15,36.61,25.38
Baksa,1994,August,349.77,21.11,29.49,35.42,24.61
Baksa,1994,September,52.21,19.28,28.2,34.19,21.25
Baksa,1994,October,128.76,14.63,23.95,31.34,17.02
Baksa,1994,November,5.22,11.16,20.74,28.65,13.91
Baksa,1994,December,0.03,7.66,16.38,25.07,8.48
Baksa,ANN,ANN,1619.21,14.22,23.91,36.61,7.83
Baksa,1995,January,9.38,6.45,15.46,25.57,7.72
Baksa,1995,February,17.53,6.38,18.32,29.88,9.81
Baksa,1995,March,28.24,6.48,23.77,37.02,12.49
Baksa,1995,April,126.62,9.38,27.79,39.38,15.61
Baksa,1995,May,174.29,15.85,30.79,39.88,23.55
Baksa,1995,June,443.35,20.36,30.27,40.51,24.71
Baksa,1995,July,592.41,20.99,28.7,33.79,24.76
Baksa,1995,August,366.23,20.86,28.81,34.34,24.1
Baksa,1995,September,374.73,19.29,27.08,34.77,21.45
Baksa,1995,October,32.27,16.4,25.07,31.2,18.02
Baksa,1995,November,48.9,12.38,20.66,28,12.06
Baksa,1995,December,2.9,9.34,16.65,23.79,10.11
Baksa,ANN,ANN,2216.85,13.72,24.48,40.51,7.72
Baksa,1996,January,8.53,7.96,15.12,23.17,6.52
Baksa,1996,February,26.8,8.55,18.13,26.34,10.12
Baksa,1996,March,38.87,10.26,22.67,32.13,12.29
Baksa,1996,April,44.68,10.98,26.21,36.3,13.07
Baksa,1996,May,435.91,18.08,28.75,35.36,22.52
Baksa,1996,June,194.31,19.23,28.78,36.93,22.19
Baksa,1996,July,362.06,21.25,28.91,35.63,24.92
Baksa,1996,August,216.18,20.48,28.74,35.34,24.01
Baksa,1996,September,147.35,19.29,27.82,34.07,22.67
Baksa,1996,October,120.88,15.2,24.39,32.35,18.64
Baksa,1996,November,0.32,11.51,20.24,29.66,11.91
Baksa,1996,December,0,8.31,16.88,25.12,9.45
Baksa,ANN,ANN,1595.89,14.28,23.9,36.93,6.52
Baksa,1997,January,9.56,6.74,15.17,23.89,6.79
Baksa,1997,February,17.44,6.21,16.51,28.02,6.91
Baksa,1997,March,47.41,7.62,23.57,34.08,13.65
Baksa,1997,April,109.84,11.03,25.73,36.33,16.65
Baksa,1997,May,235.77,14.33,29,38.07,19.93
Baksa,1997,June,304.26,19.46,29.58,35.91,24.42
Baksa,1997,July,275.09,21.14,29.44,34.81,23.84
Baksa,1997,August,293.45,20.52,28.75,35.61,23.83
Baksa,1997,September,191.37,19,27,33.96,19.62
Baksa,1997,October,15.78,14.29,23.76,30.7,17.17
Baksa,1997,November,5.52,11.65,20.74,29.05,13.29
Baksa,1997,December,23.66,8.35,16.44,25.45,8.46
Baksa,ANN,ANN,1529.15,13.4,23.85,38.07,6.79
Baksa,1998,January,1.39,6.47,14.8,26.02,6.15
Baksa,1998,February,11.7,6.75,18.67,29.96,9.45
Baksa,1998,March,95.56,7.6,21.78,32.88,11.2
Baksa,1998,April,177.99,12.44,26.4,36.15,16.2
Baksa,1998,May,134.32,16.31,30.21,39.37,21.11
Baksa,1998,June,230.84,20.97,30.2,36.28,26.17
Baksa,1998,July,318.11,21.67,29.35,33.77,25.53
Baksa,1998,August,349.86,21.27,28.83,34.38,24.58
Baksa,1998,September,223.47,19.63,28.24,34.28,23.31
Baksa,1998,October,187.91,17.01,25.82,32.43,17.52
Baksa,1998,November,6.19,12.43,21.23,28.35,14.23
Baksa,1998,December,0.14,8.64,17.18,25.01,9.83
Baksa,ANN,ANN,1737.48,14.3,24.42,39.37,6.15
Baksa,1999,January,0.14,7.15,15.7,24.64,8.38
Baksa,1999,February,1.23,8.18,19.75,30.57,9.31
Baksa,1999,March,12.19,6.84,22.97,34.61,13.08
Baksa,1999,April,48.65,10.75,29.77,40.27,18.51
Baksa,1999,May,261.01,16.98,29.95,39.43,23.43
Baksa,1999,June,279.82,19.87,30,37.32,24.22
Baksa,1999,July,303.16,21,28.88,34.86,23.9
Baksa,1999,August,461.49,20.77,28.5,35.87,23.27
Baksa,1999,September,208.32,19.8,27.9,33.11,22.83
Baksa,1999,October,149.78,16.76,25.1,31.34,19.54
Baksa,1999,November,3.84,11.96,20.37,28.85,12.77
Baksa,1999,December,0.7,9.1,17.07,24.87,9.53
Baksa,ANN,ANN,1730.33,14.13,24.68,40.27,8.38
Baksa,2000,January,4.76,7.64,15.44,23.65,8.01
Baksa,2000,February,20.4,6.93,15.41,25.62,7.72
Baksa,2000,March,22.73,8.6,21.02,33.52,11.56
Baksa,2000,April,241.24,13.35,26.13,34.74,17.72
Baksa,2000,May,370.25,17.88,27.97,35.89,21.11
Baksa,2000,June,406.44,20.71,28.97,35.74,23.7
Baksa,2000,July,262.91,21.39,29.18,34.2,25.3
Baksa,2000,August,415.15,21.16,28.78,33.84,25.1
Baksa,2000,September,172.41,19.33,27.15,33.69,21.23
Baksa,2000,October,56.13,16.47,25.22,31.31,16.1
Baksa,2000,November,10.63,12.12,20.38,28.07,13.36
Baksa,2000,December,1.92,8.44,16.21,23.42,9.63
Baksa,ANN,ANN,1984.97,14.52,23.51,35.89,7.72
Baksa,2001,January,1.67,7.41,14.34,23.52,6.54
Baksa,2001,February,22.11,8.33,17.45,27.34,8.49
Baksa,2001,March,25.92,9.03,21.16,30.94,12.24
Baksa,2001,April,250.16,13.1,25.75,34.12,16.73
Baksa,2001,May,362.18,17.92,27.93,34,20.41
Baksa,2001,June,350.69,20.7,28.91,34.28,23.98
Baksa,2001,July,274.97,21.82,29.58,34.93,25.26
Baksa,2001,August,212.49,21.24,29.45,35.55,24.64
Baksa,2001,September,180.7,19.59,27.63,32.62,23.42
Baksa,2001,October,169.25,16.13,25.07,31.43,18.79
Baksa,2001,November,15.72,12.51,21.06,28.39,12.14
Baksa,2001,December,0.37,8.37,16.29,24.92,10.43
Baksa,ANN,ANN,1866.23,14.71,23.75,35.55,6.54
Baksa,2002,January,10.95,8.23,16.03,24.24,7.63
Baksa,2002,February,5.97,8.54,17.98,28.04,7.51
Baksa,2002,March,72.86,10.32,22.31,31.96,12.75
Baksa,2002,April,291.68,14.49,25.32,32.77,16.34
Baksa,2002,May,257.28,17.46,27.66,34.33,19.13
Baksa,2002,June,376.67,20.32,28.82,34.69,23.74
Baksa,2002,July,355.59,21.34,29.16,34.26,24.91
Baksa,2002,August,257.73,20.67,28.46,34.74,23.47
Baksa,2002,September,160.75,18.86,27.32,34.48,22.16
Baksa,2002,October,36.29,15.07,24.24,31.6,15.79
Baksa,2002,November,48.75,11.71,20.32,27.61,13.7
Baksa,2002,December,9.77,9.39,16.74,25.54,8.4
Baksa,ANN,ANN,1884.29,14.73,23.72,34.74,7.51
Baksa,2003,January,6.42,7.3,14.29,22.96,6.2
Baksa,2003,February,42.86,9.11,17.8,26.52,10.77
Baksa,2003,March,126.28,10.72,21.16,30.43,10.14
Baksa,2003,April,202.99,14.66,25.79,32.72,17.5
Baksa,2003,May,173.85,16.42,27.49,35.06,19.26
Baksa,2003,June,518.67,20.06,28.73,35.74,24.36
Baksa,2003,July,392.28,21.15,28.88,35.12,24.54
Baksa,2003,August,207.05,21.32,29.27,34.65,24.62
Baksa,2003,September,209.52,20.22,28.03,33.51,23.33
Baksa,2003,October,252.52,16.55,24.54,30.44,18.96
Baksa,2003,November,17.34,12.31,20.08,27.72,12.39
Baksa,2003,December,12.47,9.41,16.54,23.55,8.96
Baksa,ANN,ANN,2162.25,14.96,23.57,35.74,6.2
Baksa,2004,January,10.11,8.3,15.12,22.51,6.59
Baksa,2004,February,8.95,8.8,17.39,27.24,7.6
Baksa,2004,March,20.31,11.69,22.6,32,12.05
Baksa,2004,April,559.93,15.61,25.34,32.63,17.04
Baksa,2004,May,183.88,17.87,27.65,34.35,18.17
Baksa,2004,June,267.56,19.95,28.51,33.72,23.73
Baksa,2004,July,510.51,20.66,28.3,33.45,23.19
Baksa,2004,August,139.61,21.39,29.13,35.08,25.42
Baksa,2004,September,141.48,19.43,27.09,32.77,22.23
Baksa,2004,October,332.47,15.17,23.56,31.92,16.33
Baksa,2004,November,3.42,11.22,19.53,26.44,12.87
Baksa,2004,December,1.89,9.48,16.41,24.55,6.63
Baksa,ANN,ANN,2180.12,14.98,23.4,35.08,6.59
Baksa,2005,January,14.54,8.45,14.9,23.14,8.65
Baksa,2005,February,9.41,9.75,18.58,28.6,8.44
Baksa,2005,March,135.27,12.39,23,31.31,14.05
Baksa,2005,April,173.33,14.68,25.34,32,15.96
Baksa,2005,May,284.74,16.91,26.69,33.68,19.73
Baksa,2005,June,141.47,20.11,29.42,34.66,24.21
Baksa,2005,July,262.55,21.05,29.4,35.52,24.13
Baksa,2005,August,832.65,21.41,28.9,35.11,24.57
Baksa,2005,September,113.26,19.84,28.37,35.54,23.63
Baksa,2005,October,185.57,15.89,24.34,30.58,18.01
Baksa,2005,November,1.81,11.58,19.57,27.15,11.43
Baksa,2005,December,0.07,9.14,16.6,23.83,9.62
Baksa,ANN,ANN,2154.67,15.13,23.78,35.54,8.44
Baksa,2006,January,0.05,8.06,14.98,24.07,8.48
Baksa,2006,February,18.34,10.65,20,29.27,11.78
Baksa,2006,March,15.62,9.85,21.53,33.93,13.01
Baksa,2006,April,217.9,13.88,24.96,33.8,16.89
Baksa,2006,May,317.1,17.44,27.71,35.46,20.68
Baksa,2006,June,236.21,20.46,28.91,34.15,24.74
Baksa,2006,July,293.02,21.38,29.75,35.22,25.33
Baksa,2006,August,178.39,20.66,29.5,35.8,24.23
Baksa,2006,September,123.9,19.08,27.41,34.62,22.79
Baksa,2006,October,111.2,15.17,24.89,31.47,16.05
Baksa,2006,November,16.79,11.41,20.14,29.04,10.14
Baksa,2006,December,7.95,9.32,17.09,25.07,10.15
Baksa,ANN,ANN,1536.47,14.8,23.92,35.8,8.48
